tier,adapter,variant,stage,language_guidance_scope,language_router_mode,language_prior_weight,notes
tier12,LoRA,baseline,stage1,none,learned,0.0,"Rank-8 LoRA baseline (finetuning_type=lora)"
tier12_base,LoRA,baseline,stage1,none,learned,0.0,"LoRA baseline on original tokenizer/model (no extension)"
tier12,HydraLoRA,hydra-flat,stage1,none,learned,0.0,"Shared-A multi-B baseline (lora_num=3, no experts)"
tier12,HydraLoRA,hydra-exp-lpr,stage1,all,learned,0.1,"use_hydralora_experts=True with JSON clusters, Stage 1 LPR"
tier12,CoLA,colaflat,stage1,none,learned,0.0,"Classic CoLA (num_A=1,num_B=3, no experts)"
tier12,CoLA,colaexp-lpr,stage1,all,learned,0.1,"CoLA experts with shared A per cluster, Stage 1 LPR"
tier72,LoRA,baseline,stage1,none,learned,0.0,"Same hyperparams as tier12 LoRA baseline"
tier72,HydraLoRA,hydra-flat,stage1,none,learned,0.0,"Mirror tier12 Hydra flat baseline"
tier72,HydraLoRA,hydra-exp-lpr,stage1,all,learned,0.1,"Tier72 clusters + Hydra experts with Stage 1 LPR"
tier72,CoLA,colaflat,stage1,none,learned,0.0,"Same collaborative settings as tier12 CoLA flat"
tier72,CoLA,colaexp-lpr,stage1,all,learned,0.1,"Tier72 CoLA experts with Stage 1 LPR guidance"
