subset,split,code,script,name,family,words,documents,utf8_bytes,utf8_bytes_human,parquet_bytes,parquet_bytes_human,bible_ratio,wiki_ratio,resource_category
rus_Cyrl,train,rus,Cyrl,Russian,Indo-European,588579493780,699083579,6400108560340,5.82TB,1987554520397,1.81TB,-,-,high
deu_Latn,train,deu,Latn,German,Indo-European,262271052199,495964485,1654784757688,1.51TB,772108850771,719.08GB,-,-,high
spa_Latn,train,spa,Latn,Spanish,Indo-European,261523749595,441287261,1447166708770,1.32TB,637611323581,593.82GB,-,-,high
jpn_Jpan,train,jpn,Jpan,Japanese,Japonic,331144301801,400138563,1650248456871,1.50TB,716653211753,667.44GB,-,-,high
fra_Latn,train,fra,Latn,French,Indo-European,220662584640,360058973,1220202265605,1.11TB,539897427722,502.82GB,-,-,high
ita_Latn,train,ita,Latn,Italian,Indo-European,139116026491,238984437,793750885035,739.24GB,356987031446,332.47GB,-,-,high
por_Latn,train,por,Latn,Portuguese,Indo-European,109536087117,199737979,611213407211,569.24GB,275864696856,256.92GB,-,-,high
pol_Latn,train,pol,Latn,Polish,Indo-European,73119437217,151966724,463862082709,432.01GB,225858675350,210.35GB,-,-,high
nld_Latn,train,nld,Latn,Dutch,Indo-European,74634633118,147301270,426818652448,397.51GB,190027236277,176.98GB,-,-,high
ind_Latn,train,ind,Latn,Indonesian,Austronesian,60264322142,100238529,374364271538,348.65GB,152153987480,141.70GB,-,-,high
tur_Latn,train,tur,Latn,Turkish,Turkic,41933799420,95129129,305497429770,284.52GB,134789283815,125.53GB,-,-,high
ces_Latn,train,ces,Latn,Czech,Indo-European,35479428809,66067904,221544258565,206.33GB,109931759576,102.38GB,-,-,high
arb_Arab,train,arb,Arab,Standard Arabic,Afro-Asiatic,32812858120,61977525,315241517028,293.59GB,105963830058,98.69GB,-,-,high
vie_Latn,train,vie,Latn,Vietnamese,Austro-Asiatic,50886874358,61064248,343416915256,319.83GB,130131724878,121.19GB,-,-,high
kor_Hang,train,kor,Hang,Korean,Koreanic,48613120582,60874355,229164863492,213.43GB,105767105257,98.50GB,-,-,high
swe_Latn,train,swe,Latn,Swedish,Indo-European,35745969364,59485306,217929329252,202.96GB,95169288203,88.63GB,-,-,high
ron_Latn,train,ron,Latn,Romanian,Indo-European,35017893659,58303671,199920561455,186.19GB,91670592103,85.37GB,-,-,high
ukr_Cyrl,train,ukr,Cyrl,Ukrainian,Indo-European,25586457655,53101726,273654962631,254.86GB,91241545309,84.98GB,-,-,high
hun_Latn,train,hun,Latn,Hungarian,Uralic,30919839164,49935986,214420647030,199.69GB,98497079849,91.73GB,-,-,high
ell_Grek,train,ell,Grek,Modern Greek (1453-),Indo-European,22827957288,47421073,238423993714,222.05GB,78555662908,73.16GB,-,-,high
dan_Latn,train,dan,Latn,Danish,Indo-European,28055948840,45391655,161837584891,150.72GB,70588804915,65.74GB,-,-,high
nob_Latn,train,nob,Latn,Norwegian Bokmål,Indo-European,32008904934,38144343,184736905731,172.05GB,84016343532,78.25GB,-,-,high
fin_Latn,train,fin,Latn,Finnish,Uralic,20343096672,36710816,153578789445,143.03GB,66505424415,61.94GB,-,-,high
tha_Thai,train,tha,Thai,Thai,Kra-Dai,24662748945,35897202,299226473998,278.68GB,75060919293,69.91GB,-,-,high
slk_Latn,train,slk,Latn,Slovak,Indo-European,14808010769,29991521,91733828860,85.43GB,46171266091,43.00GB,-,-,high
bul_Cyrl,train,bul,Cyrl,Bulgarian,Indo-European,16074326712,25994731,156496753428,145.75GB,49044014988,45.68GB,-,-,high
hin_Deva,train,hin,Deva,Hindi,Indo-European,11173681651,22095985,129902413849,120.98GB,34272968716,31.92GB,-,-,high
bos_Latn,train,bos,Latn,Bosnian,Indo-European,9086837979,21243255,52807573543,49.18GB,26427889294,24.61GB,-,-,high
cat_Latn,train,cat,Latn,Catalan,Indo-European,8348091726,17136414,43330701751,40.35GB,19885513198,18.52GB,-,-,high
ben_Beng,train,ben,Beng,Bengali,Indo-European,6153579265,15185742,93456224217,87.04GB,23894953700,22.25GB,-,-,high
heb_Hebr,train,heb,Hebr,Hebrew,Afro-Asiatic,8462976117,14491748,73780962340,68.71GB,24857419268,23.15GB,-,-,high
lit_Latn,train,lit,Latn,Lithuanian,Indo-European,9132828961,13471965,60666590655,56.50GB,27650973813,25.75GB,-,-,medium
slv_Latn,train,slv,Latn,Slovenian,Indo-European,7688373264,12059130,44878788376,41.80GB,20637664326,19.22GB,-,-,medium
zsm_Latn,train,zsm,Latn,Standard Malay,Austronesian,5648387840,9421248,34291909291,31.94GB,14256853176,13.28GB,-,-,medium
als_Latn,train,als,Latn,Tosk Albanian,Indo-European,3454387059,8597826,19522049281,18.18GB,9038429238,8.42GB,-,-,medium
lvs_Latn,train,lvs,Latn,Standard Latvian,Indo-European,5371151279,8030316,35823658462,33.36GB,15786398599,14.70GB,-,-,medium
azj_Latn,train,azj,Latn,North Azerbaijani,Turkic,3894255826,7291231,28882728457,26.90GB,11261369599,10.49GB,-,-,medium
hrv_Latn,train,hrv,Latn,Croatian,Indo-European,6609299440,6195824,38555062999,35.91GB,17568992943,16.36GB,-,-,medium
tam_Taml,train,tam,Taml,Tamil,Dravidian,1937150898,5528854,39693515188,36.97GB,9438382231,8.79GB,-,-,medium
npi_Deva,train,npi,Deva,Nepali (individual language),Indo-European,1642856349,4888163,26982905157,25.13GB,6683397712,6.22GB,-,-,medium
urd_Arab,train,urd,Arab,Urdu,Indo-European,2733266493,4809542,21400072163,19.93GB,6868759323,6.40GB,-,-,medium
mkd_Cyrl,train,mkd,Cyrl,Macedonian,Indo-European,1611392841,4150902,16096523670,14.99GB,5173137721,4.82GB,-,-,medium
srp_Cyrl,train,srp,Cyrl,Serbian,Indo-European,2858500314,4146124,28846157665,26.87GB,9282455275,8.64GB,-,-,medium
mar_Deva,train,mar,Deva,Marathi,Indo-European,1541225070,3912702,24237886861,22.57GB,6278522796,5.85GB,-,-,medium
kat_Geor,train,kat,Geor,Georgian,Kartvelian,1439572993,3706659,27094494127,25.23GB,6795455104,6.33GB,-,-,medium
kaz_Cyrl,train,kaz,Cyrl,Kazakh,Turkic,1876843453,3344366,22198217777,20.67GB,6797763133,6.33GB,-,-,medium
mal_Mlym,train,mal,Mlym,Malayalam,Dravidian,1054187581,3322526,23909881915,22.27GB,5915341648,5.51GB,-,-,medium
isl_Latn,train,isl,Latn,Icelandic,Indo-European,1696354360,3014429,11028092809,10.27GB,4926028122,4.59GB,-,-,medium
glg_Latn,train,glg,Latn,Galician,Indo-European,1236233473,2522814,6947044419,6.47GB,3137001036,2.92GB,-,-,medium
kan_Knda,train,kan,Knda,Kannada,Dravidian,748850327,2390982,13857353006,12.91GB,3526351166,3.28GB,-,-,medium
ary_Arab,train,ary,Arab,Moroccan Arabic,Afro-Asiatic,843523994,2365405,8311310671,7.74GB,2868739922,2.67GB,-,-,medium
guj_Gujr,train,guj,Gujr,Gujarati,Indo-European,934124052,2127094,12573380396,11.71GB,3338859951,3.11GB,-,-,medium
bel_Cyrl,train,bel,Cyrl,Belarusian,Indo-European,1166541148,2100873,12316859892,11.47GB,4157557300,3.87GB,-,-,medium
afr_Latn,train,afr,Latn,Afrikaans,Indo-European,1598352868,1992040,8254403024,7.69GB,3653767111,3.40GB,-,-,medium
tel_Telu,train,tel,Telu,Telugu,Dravidian,891002487,1964395,15478493847,14.42GB,3950350913,3.68GB,-,-,medium
hye_Armn,train,hye,Armn,Armenian,Indo-European,634273060,1757415,7697017226,7.17GB,2422275652,2.26GB,-,-,medium
khk_Cyrl,train,khk,Cyrl,Halh Mongolian,Mongolic,824211882,1622882,9147689411,8.52GB,2775563579,2.58GB,-,-,low
khm_Khmr,train,khm,Khmr,Khmer,Austro-Asiatic,667495692,1586460,9341656291,8.70GB,2281085209,2.12GB,-,-,low
eus_Latn,train,eus,Latn,Basque,Language isolate,711939889,1569434,4616894404,4.30GB,2036142953,1.90GB,-,-,low
mya_Mymr,train,mya,Mymr,Burmese,Sino-Tibetan,854400671,1558304,13261245557,12.35GB,3111606360,2.90GB,-,-,low
ory_Orya,train,ory,Orya,Odia,Indo-European,333760951,1298188,5286806083,4.92GB,1373319465,1.28GB,-,-,low
uzn_Latn,train,uzn,Latn,Northern Uzbek,Turkic,687002994,1233463,4780890804,4.45GB,2040608995,1.90GB,-,-,low
nno_Latn,train,nno,Latn,Norwegian Nynorsk,Indo-European,522740774,1214870,2882129938,2.68GB,1396085164,1.30GB,-,-,low
swh_Latn,train,swh,Latn,Swahili (individual language),Niger-Congo,569542024,1206300,3311669706,3.08GB,1428385709,1.33GB,-,-,low
sin_Sinh,train,sin,Sinh,Sinhala,Indo-European,512453069,1185323,7567102011,7.05GB,2012430591,1.87GB,-,-,low
som_Latn,train,som,Latn,Somali,Afro-Asiatic,368770065,1070384,2204199720,2.05GB,998755699,952.49MB,-,-,low
kir_Cyrl,train,kir,Cyrl,Kirghiz,Turkic,397449282,1069582,4682371376,4.36GB,1467502664,1.37GB,-,-,low
pan_Guru,train,pan,Guru,Panjabi,Indo-European,522788467,944160,6050581322,5.64GB,1577744291,1.47GB,0.004,0.014,low
arz_Arab,train,arz,Arab,Egyptian Arabic,Afro-Asiatic,345040810,853290,3136669067,2.92GB,1140450231,1.06GB,0.000,0.007,low
cym_Latn,train,cym,Latn,Welsh,Indo-European,523226616,831878,2680853098,2.50GB,1185655461,1.10GB,0.004,0.014,low
tgk_Cyrl,train,tgk,Cyrl,Tajik,Indo-European,396209383,688384,4031127806,3.75GB,1233926771,1.15GB,0.001,0.023,low
gle_Latn,train,gle,Latn,Irish,Indo-European,415191949,646842,2330152361,2.17GB,980691197,935.26MB,0.001,0.038,low
pbt_Arab,train,pbt,Arab,Southern Pashto,Indo-European,337138269,639983,2586053704,2.41GB,855668053,816.03MB,0.000,0.004,low
ckb_Arab,train,ckb,Arab,Central Kurdish,Indo-European,236342609,554993,2562813224,2.39GB,821927108,783.85MB,0.004,0.014,low
mlt_Latn,train,mlt,Latn,Maltese,Afro-Asiatic,286548586,489190,1642185804,1.53GB,733570632,699.59MB,0.002,0.003,low
kmr_Latn,train,kmr,Latn,Northern Kurdish,Indo-European,221161002,444677,1250565913,1.16GB,562010927,535.98MB,0.001,0.020,low
